"교육청명","교육지원청명","유치원코드","유치원명","설립유형","교실수","교실면적","체육장","보건/위생공간","조리실/급식공간","기타공간","공시차수","주소"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f331-b044-e053-0a32095ab044","어린이회관유치원","사립(법인)","12개","1025㎡","284㎡","54㎡","59㎡","1099㎡","20241","서울특별시 광진구 광나루로 441"
"서울특별시교육청","성동광진교육지원청","1ecec08c-fc13-b044-e053-0a32095ab044","성수아름유치원","사립(사인)","2개","132㎡","㎡","0㎡","0㎡","0㎡","20191","서울특별시 광진구 뚝섬로 476-15"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f332-b044-e053-0a32095ab044","영화유치원","사립(사인)","3개","231㎡","㎡","0㎡","0㎡","0㎡","20241","서울특별시 광진구 영화사로 105"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f7d7-b044-e053-0a32095ab044","슬기유치원","사립(사인)","4개","349㎡","㎡","0㎡","25㎡","0㎡","20241","서울특별시 광진구 자양로 296"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f7d9-b044-e053-0a32095ab044","자양하나유치원","사립(사인)","4개","245㎡","㎡","0㎡","78㎡","119㎡","20231","서울특별시 광진구 아차산로41길 22-5"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f9b0-b044-e053-0a32095ab044","보성유치원","사립(사인)","4개","264㎡","㎡","10㎡","10㎡","14㎡","20241","서울특별시 광진구 아차산로 552"
"서울특별시교육청","성동광진교육지원청","1ecec08c-fc15-b044-e053-0a32095ab044","정신유치원","사립(사인)","3개","198㎡","㎡","25㎡","24㎡","26㎡","20221","서울특별시 광진구 뚝섬로23길 27"
"서울특별시교육청","성동광진교육지원청","1ecec08c-fd95-b044-e053-0a32095ab044","대원유치원","사립(사인)","3개","226㎡","㎡","20㎡","18㎡","20㎡","20241","서울특별시 광진구 뚝섬로41길 20"
"서울특별시교육청","성동광진교육지원청","1ecec08c-fe01-b044-e053-0a32095ab044","광장유치원","사립(법인)","3개","286㎡","㎡","11㎡","0㎡","0㎡","20241","서울특별시 광진구 광장로7길 17"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0076-b044-e053-0a32095ab044","선미유치원","사립(사인)","6개","242㎡","㎡","28㎡","2㎡","0㎡","20191","서울특별시 광진구 면목로5길 54"
"서울특별시교육청","성동광진교육지원청","1ecec08c-fe02-b044-e053-0a32095ab044","서울양남초등학교병설유치원","공립(병설)","5개","208㎡","66㎡","141㎡","187㎡","66㎡","20241","서울특별시 광진구 뚝섬로64길 71"
